Codice;Descrizione1;BarCode;IDFamiglia;Famiglia;IDGruppo;Gruppo;Esistenza;Scarto;EsistenzaNetta;Esercizio;Listino 1;Listino2;ListinoLM
000000000009705;WHISKY BALLANTINES PURE MALT 12 Y CL.70;5010106110478;9;WHISKY;032;DISTILLATI;1,000;2;-1,000;2021;20,56500;22,62500;15,46000
000000000009705;WHISKY BALLANTINES PURE MALT 12 Y CL.70;5010106110966;9;WHISKY;032;DISTILLATI;1,000;2;-1,000;2021;20,56500;22,62500;15,46000
000000000009711;MALIBU' LT.1 ///;8410024700008;8;RUM;032;DISTILLATI;14,000;2;12,000;2021;14,57500;16,03500;9,71000
000000000032903;RUM S.TERESA SELECTO CL.70;0024223300150;8;RUM;032;DISTILLATI;15,000;2;13,000;2021;22,22500;24,44500;16,70000
000000000032904;RUM 1796 S.TERESA CL.70;7591156404819;8;RUM;032;DISTILLATI;14,000;2;12,000;2021;31,89500;35,09500;25,51000
000000000033005;VINO ZANZI RUBICONE CL.75;8008530003104;14;VINO BIANCO;009;VINI;151,000;2;149,000;2021;1,80500;1,99500;1,35000
000000000033206;GIN BOMBAY LT. 1 ///;5010677716000;11;GIN;032;DISTILLATI;34,000;2;32,000;2021;17,97500;19,77500;13,51000
000000000033461;GRAPPA POLI SARPA CL.70;8014115000239;5;GRAPPA;032;DISTILLATI;28,000;2;26,000;2021;16,76500;18,44500;12,60000
000000000233697;RUM ZACAPA 23Y  CL.70 ///;7401005002106;8;RUM;032;DISTILLATI;54,000;2;52,000;2021;48,56500;53,42400;36,51000
000000000233979;CHERRY STOCK CL. 0,70;8000440352129;13;LIQUORI;010;AMARI E LIQUORI;6,000;2;4,000;2021;10,35500;11,39500;6,90000
000000000234149;CHAMPAGNE KRUG 12°  CL.75XXXX ///;3258064080798;00116;CHAMPAGNE;033;BOLLICINE;8,000;0;8,000;2021;165,36500;181,90500;137,80000
000000000234351;RUM BALLY PYRAMID 7Y CL. 70 ///;3306230070705;8;RUM;032;DISTILLATI;13,000;2;11,000;2021;48,27500;53,10500;36,29000
000000000234508;DE KUYPER PEACH TREE CL. 70 ///;8710625525636;13;LIQUORI;010;AMARI E LIQUORI;11,000;2;9,000;2021;10,77500;11,85500;7,18000
000000000234509;CHAMPAGNE DOM PERIGNON CL. 75 2010 XXXX ///;3185370445648;00116;CHAMPAGNE;033;BOLLICINE;39,000;0;39,000;2021;138,00500;151,81500;128,00000
000000000234794;VODKA MOSKOVSKAYA LT. 1;4600659914404;7;VODKA;032;DISTILLATI;100,000;2;98,000;2021;11,35500;12,49500;9,08000
000000000235015;WHISKY CHIVAS REGAL LT. 1;5000299212905;9;WHISKY;032;DISTILLATI;14,000;2;12,000;2021;29,94500;32,94500;22,51000
000000000235054;SAMBUCA MOLINARI AL CAFFE' CL. 70;8002095200060;13;LIQUORI;010;AMARI E LIQUORI;10,000;2;8,000;2021;11,46500;12,60500;8,18000
000000000235054;SAMBUCA MOLINARI AL CAFFE' CL. 70;8002095736606;13;LIQUORI;010;AMARI E LIQUORI;10,000;2;8,000;2021;11,46500;12,60500;8,18000
000000000235055;VODKA TOVARITCH LT. 1 ///;4601667000417;7;VODKA;032;DISTILLATI;21,000;2;19,000;2021;14,94500;16,43500;11,23000
000000000235212;VINO PIEMONTE BARBERA CL.75 TOSO XXXXX;8002915000313;15;VINO ROSSO;009;VINI;82,000;2;80,000;2021;2,06500;2,27500;1,55000
000000000235212;VINO PIEMONTE BARBERA CL.75 TOSO XXXXX;8002915004632;15;VINO ROSSO;009;VINI;82,000;2;80,000;2021;2,06500;2,27500;1,55000
000000000235222;VINO ROSSO PICENO DOC CL.75 SUPERIORE SALADINI;4980434400408;15;VINO ROSSO;009;VINI;116,000;2;114,000;2021;3,86500;4,25500;2,90000
000000000235356;VODKA BORYSKA-VLADIVASTOK BELLINI LT. 2;8007525103700;7;VODKA;032;DISTILLATI;77,000;2;75,000;2021;13,56500;14,92500;10,19800
000000000235447;ALCHERMES BELLINI LT. 2;8007525103300;13;LIQUORI;010;AMARI E LIQUORI;25,000;2;23,000;2021;9,87500;10,86500;7,41900
000000000235660;RUM ZACAPA 25Y CENTENARIO XO CL. 70;7401005008610;8;RUM;032;DISTILLATI;16,000;2;14,000;2021;112,50500;123,76500;90,00000
000000000235772;RUM S.TERESA CLARO LT. 1;024223002030;8;RUM;032;DISTILLATI;9,000;2;7,000;2021;12,92500;14,22500;6,86000
000000000235797;RUM SANTA TERESA GRAN RESERVE CL. 70;024223301157;8;RUM;032;DISTILLATI;12,000;2;10,000;2021;16,63500;18,30500;12,50000
000000000235967;PASSOA LT. 1 ///;3035540001825;13;LIQUORI;010;AMARI E LIQUORI;16,000;2;14,000;2021;12,64500;13,91500;9,49900
000000000236089;BOLS APRICOT CL. 70 XXXXX ///;8716000965240;13;LIQUORI;010;AMARI E LIQUORI;9,000;2;7,000;2021;10,44500;11,49500;6,96000
000000000009705;WHISKY BALLANTINES PURE MALT 12 Y CL.70;3468180001755;9;WHISKY;032;DISTILLATI;1,000;2;-1,000;2021;20,56500;22,62500;15,46000
000000000009709;WHISKY SOUTHERN COMFORT LT.1 ///;5099873015377;9;WHISKY;032;DISTILLATI;1,000;2;-1,000;2021;18,21500;20,04500;13,68900
000000000009711;MALIBU' LT.1 ///;0089540448978;8;RUM;032;DISTILLATI;14,000;2;12,000;2021;14,57500;16,03500;9,71000
000000000009711;MALIBU' LT.1 ///;841002470008;8;RUM;032;DISTILLATI;14,000;2;12,000;2021;14,57500;16,03500;9,71000
000000000009719;LIME ROSE'S LT.1;5701125254372;13;LIQUORI;010;AMARI E LIQUORI;24,000;2;22,000;2021;4,26500;4,69500;3,20500
000000000032903;RUM S.TERESA SELECTO CL.70;024223300150;8;RUM;032;DISTILLATI;30,000;2;28,000;2021;22,22500;24,44500;16,70000
000000000032904;RUM 1796 S.TERESA CL.70;2422300031;8;RUM;032;DISTILLATI;14,000;2;12,000;2021;31,89500;35,09500;25,51000
000000000033004;VINO ZANZI LAMBRUSCO CL.75;8008530003128;15;VINO ROSSO;009;VINI;51,000;2;49,000;2021;1,70500;1,88500;1,27500
000000000033474;GRAPPA POLI UVA VIVA CL.70;8014115000260;5;GRAPPA;032;DISTILLATI;16,000;2;14,000;2021;20,88500;22,97500;15,70000
000000000033517;VINO AMARONE VALPOLICELLA CLASSICO 2016 ITALIA CL.75 16° CASTELLANI;8021364189011;15;VINO ROSSO;009;VINI;9,000;0;9,000;2021;20,23500;22,26500;15,21000
000000000233697;RUM ZACAPA 23Y  CL.70 ///;7401005008580;8;RUM;032;DISTILLATI;54,000;2;52,000;2021;48,56500;53,42400;36,51000
000000000233831;VINO FALERIO DOC CL.75 13° SALADINI PILASTRI;8018372002036;14;VINO BIANCO;009;VINI;680,000;2;678,000;2021;3,26500;3,59500;2,45000
000000000233890;VODKA ARTIC RED CL.70 XXXXX ///;8001110131624;7;VODKA;032;DISTILLATI;2,000;2;0,000;2021;8,05500;8,86500;6,05000
000000000233907;RUM BARBANCOURT 5 STELLE 8Y CL.70 HAITI;0089016005827;8;RUM;032;DISTILLATI;6,000;2;4,000;2021;28,70500;31,58500;19,13000
000000000233908;RUM BARBANCOURT 15Y CL.70;8144087231;8;RUM;032;DISTILLATI;10,000;2;8,000;2021;50,68500;55,75500;38,10000
000000000233972;VODKA GREY GOOSE CL. 70 ///;5010677850100;7;VODKA;032;DISTILLATI;87,000;2;85,000;2021;30,63500;33,70500;24,50400
000000000234147;GRAPPA BIANCA VENETA LT. 2;8007525003105;5;GRAPPA;032;DISTILLATI;19,000;2;17,000;2021;13,70500;15,08500;10,30200
000000000234197;VINO MONTEPULCIANO D'ABR. DOC VILLA GEMMA 14.5°  CL.75 MASCIARELLI;8033140750360;15;VINO ROSSO;009;VINI;0,000;2;-2,000;2021;39,00500;39,00500;26,00000
000000000234251;VINO TREBBIANO D'ABRUZZO 2019 DOC CL.75  MASCIARELLI;8033140750100;14;VINO BIANCO;009;VINI;19,000;2;17,000;2021;5,16500;5,68500;3,87600
000000000234351;RUM BALLY PYRAMID 7Y CL. 70 ///;3147699105351;8;RUM;032;DISTILLATI;13,000;2;11,000;2021;48,27500;53,10500;36,29000
000000000234508;DE KUYPER PEACH TREE CL. 70 ///;8710625524707;13;LIQUORI;010;AMARI E LIQUORI;11,000;2;9,000;2021;10,77500;11,85500;7,18000
000000000234569;VODKA KEGLEVICH BIANCA LT.1;8000440112419;7;VODKA;032;DISTILLATI;21,000;2;19,000;2021;8,50500;9,36500;6,80000
000000000234604;VINO BIANCO DI CICCIO IGT TRALCETTO 2019 CL.75 11,5° ZACCAGNINI;8028938070003;14;VINO BIANCO;009;VINI;105,000;2;103,000;2021;5,51500;6,07500;4,14000
000000000234923;CHAMPAGNE MOET & CHANDON CL.150 RISERVA IMPERIALE BLU 12° XXX;3185370012482;00116;CHAMPAGNE;033;BOLLICINE;9,000;0;9,000;2021;88,90500;97,80500;63,50000
000000000234939;PUNCH PICENO MELETTI CL. 70;8000655550709;4;PUNCH;010;AMARI E LIQUORI;19,000;2;17,000;2021;9,28500;10,21500;6,18300
000000000235156;CACHACA NEGA FULO LT. 1;8008099532558;00113;MEZCAL/PISCO/CACHACA;032;DISTILLATI;0,000;2;-2,000;2021;17,70500;19,46500;13,30000
000000000235278;GIN BELLINI LT. 2;8007525102907;11;GIN;032;DISTILLATI;139,000;2;137,000;2021;13,71500;15,09500;10,30800
000000000235356;VODKA BORYSKA-VLADIVASTOK BELLINI LT. 2;8007525103706;7;VODKA;032;DISTILLATI;77,000;2;75,000;2021;13,56500;14,92500;10,19800
000000000236370;PUNCH ABRUZZO EVANGELISTA LT.1;8008255191100;4;PUNCH;010;AMARI E LIQUORI;110,000;2;108,000;2021;15,76500;17,34500;10,50700
000000000236379;MARZADRO ANIMA NERA  CL.70;80573999;5;GRAPPA;032;DISTILLATI;38,000;2;36,000;2021;14,73500;16,21500;11,07700
000000000236403;ROSSO ANTICO CL.75;8000060407049;13;LIQUORI;010;AMARI E LIQUORI;4,000;2;2,000;2021;15,69500;17,27500;11,80000
000000000236403;ROSSO ANTICO CL.75;80043690;13;LIQUORI;010;AMARI E LIQUORI;4,000;2;2,000;2021;15,69500;17,27500;11,80000
000000000236405;VODKA ARTIC MELA VERDE LT.1 XXXX///;8003760131818;7;VODKA;032;DISTILLATI;0,000;2;-2,000;2021;9,06500;9,97500;6,80900
000000000236460;VINO SYLVANER DOC CL.75 ABBAZIA DI NOVACELLA;8025300001009;14;VINO BIANCO;009;VINI;15,000;2;13,000;2021;10,77500;11,85500;8,10000
000000000236623;BATIDA DE COCO LT.1 ///;7640109120204;13;LIQUORI;010;AMARI E LIQUORI;22,000;2;20,000;2021;11,70500;12,88500;8,80000
000000000236683;WHISKY JIM BEAM  LT.1 ///;5010196092142;9;WHISKY;032;DISTILLATI;32,000;2;30,000;2021;15,15500;16,67500;11,39200
000000000236772;GRAPPA RAMETZ PINOT CL.70;8016683013536;5;GRAPPA;032;DISTILLATI;7,000;2;5,000;2021;10,99500;12,10500;8,26000
000000000237149;VINO BIANCO CIVITAS LT.1 COLONNELLA;801070200050;14;VINO BIANCO;009;VINI;12,000;2;10,000;2021;1,57500;1,73500;1,18000
000000000237622;LIMONITO LT.1;8003760007564;13;LIQUORI;010;AMARI E LIQUORI;7,000;2;5,000;2021;9,98500;10,98500;7,50000
000000000237896;VINO FIORDUVA FURORE BIANCO 2019 CL.75 14,5° MARISA CUOMO VINI ESTREMI;8033829280430;14;VINO BIANCO;009;VINI;3,000;0;3,000;2021;41,90500;46,10500;31,50000
000000000237904;VINO MOSCATO LIQUOROSO ALAGNA CL.75;8015792000161;19;VINO DESSERT/LIQUOROSI;009;VINI;27,000;2;25,000;2021;7,71500;8,49500;5,80000
000000000238020;VINO COTTO CL.50 AZ.AGR.GERMANI;8033219480259;19;VINO DESSERT/LIQUOROSI;009;VINI;32,000;2;30,000;2021;6,38500;7,02500;4,80000
000000000238029;CHAMPAGNE RUINART ROSE' CL.75 12.5° XXX;3185370303320;00116;CHAMPAGNE;033;BOLLICINE;12,000;0;12,000;2021;60,00500;66,01500;50,00000
000000000238059;GRAPPA PROSECCO/CARTIZZE CL.70 BROTTO;80190202;5;GRAPPA;032;DISTILLATI;1,000;2;-1,000;2021;11,84500;13,03500;8,90000
000000000238087;WHISKY BALLANTINES LT. 1 ///;5010106111956;9;WHISKY;032;DISTILLATI;13,000;2;11,000;2021;14,26500;15,69500;11,40700
000000000238456;VINO PASSERINA ADAMANTEA CL.75 TENUTA COCCI GRIFONI;8010109401044;14;VINO BIANCO;009;VINI;1,000;2;-1,000;2021;4,60500;5,07500;3,46000
000000000238493;VINO FALANGHINA 2020 DOC CL.75 12,5° MASTROBERARDINO 1878 ///;8017015714183;14;VINO BIANCO;009;VINI;27,000;2;25,000;2021;7,45500;8,20500;5,60000
000000000238514;VINO BIANCO VILLA GEMMA IGT CL.75 MASCIARELLI;8033140750308;14;VINO BIANCO;009;VINI;57,000;2;55,000;2021;8,97500;9,87500;6,74500
000000000238619;LIQUORE DI LIMONE BROTTO LT.2;80594345;13;LIQUORI;010;AMARI E LIQUORI;2,000;2;0,000;2021;18,09500;19,90500;13,60200
000000000238635;FABBRI TOPPING AMARENA GR.950 ///;80021728;00121;TOPPING;011;SCIROPPI/TOPPING;9,000;2;7,000;2021;8,04500;8,85500;5,35800
000000000238803;MARZADRO LIQUORE MARENA CL.70;8004009008786;13;LIQUORI;010;AMARI E LIQUORI;34,000;2;32,000;2021;16,73500;18,41500;11,15000
000000000238813;GRAPPA MOST CL.70 BEPI TOSOLINI;;5;GRAPPA;032;DISTILLATI;32,000;2;30,000;2021;27,24500;29,97500;20,47800
000000000239024;RUM ZACAPA 23Y ETICHETTA NERA CL.70 ///;7401005004735;8;RUM;032;DISTILLATI;-1,000;2;-3,000;2021;78,62500;86,49500;52,41200
000000000239054;FRANCIACORTA CONTADI CASTALDI BRUT CL.75 ///;8019433020136;00119;FRANCIACORTA;033;BOLLICINE;130,000;2;128,000;2021;13,34500;14,68500;10,02600
000000000239058;VINO PIC.SUPERIORE DOC GOTICO 2016 ROSSO 14° CL.75 CIU CIU;8029439000056;15;VINO ROSSO;009;VINI;59,000;2;57,000;2021;6,18500;6,80500;4,65000
000000000239060;VINO PECORINO BIO DOCG LE MERLETTAIE CL.75 CIU CIU;8029439000131;14;VINO BIANCO;009;VINI;89,000;2;87,000;2021;6,18500;6,80500;4,65000
000000000239065;MARZADRO GRAPPA AMARONE CL.70 + 2 BICCH.CASS.LEGNO GIARE;8004009000155;5;GRAPPA;032;DISTILLATI;3,000;2;1,000;2021;53,07500;58,38500;35,38000
000000000239247;VINO TIGNANELLO 2017/2018 CL.75 TOSCANA IGT ANTINORI;8001935124504;15;VINO ROSSO;009;VINI;4,000;0;4,000;2021;70,70500;77,78500;50,50000
000000000239250;CHAMPAGNE PERRIER JOUET BLASON ROSE' CL.75 C/ASTUCCIO;3113880104717;00116;CHAMPAGNE;033;BOLLICINE;12,000;0;12,000;2021;52,90500;58,20500;47,90000
000000000239455;SCOTCH WHISKY GRANT'S CL.70;5010327000404;9;WHISKY;032;DISTILLATI;20,000;2;18,000;2021;12,14500;13,36500;9,12500
000000000239524;BIRRA ROCHEFORT 6   CL.33 ///;5412858000067;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;12,000;2;10,000;2021;2,40500;2,65500;1,60000
000000000239528;RHUM SAINT JAMES ROYAL AMBRE CL.70;3147699113776;8;RUM;032;DISTILLATI;9,000;2;7,000;2021;11,97500;13,17500;9,00000
000000000239529;BIRRA HB MUNCHEN WEISSE CL.50;4005686004157;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;110,000;2;108,000;2021;1,41500;1,56500;0,94100
000000000239554;VINO MONTEPULCIANO D'ABRUZZO TESTA ROSSA CL.75 15° PASETTI;8051084760146;15;VINO ROSSO;009;VINI;34,000;2;32,000;2021;13,68500;15,05500;10,28500
000000000239555;VINO MONTEPULCIANO D'ABRUZZO PASETTI 2018 DOC CL.75 13.5°;8051084760016;15;VINO ROSSO;009;VINI;25,000;2;23,000;2021;7,01500;7,72500;5,27000
000000000239595;AMARO 18 ISOLABELLA CL.100;8001110017058;10;AMARO;010;AMARI E LIQUORI;7,000;2;5,000;2021;17,18500;18,90500;11,45000
000000000239673;ISOLABELLA STRAWBERRY MIX & CO. CL.70;8003760136004;13;LIQUORI;010;AMARI E LIQUORI;2,000;2;0,000;2021;8,21500;9,04500;5,47167
000000000239743;RUM SANTA TERESA ANEJO GRAN RESERVE LT.1;024223000319;8;RUM;032;DISTILLATI;7,000;2;5,000;2021;21,24500;23,37500;15,97000
000000000239813;VINO MOSCATO D'ASTI DOCG BIANCOSPINO CL.75 4,5° LA SPINETTA ///;8022252211210;00118;PROSECCO/SPUMANTE;033;BOLLICINE;66,000;2;64,000;2021;8,31500;9,15500;6,25000
000000000239813;VINO MOSCATO D'ASTI DOCG BIANCOSPINO CL.75 4,5° LA SPINETTA ///;8022252211319;00118;PROSECCO/SPUMANTE;033;BOLLICINE;66,000;2;64,000;2021;8,31500;9,15500;6,25000
000000000239965;WHISKY CAOL ILA 18 Y CL.70(DIAGEO);5000281016351;9;WHISKY;032;DISTILLATI;2,000;0;2,000;2021;127,50500;140,26500;85,00000
000000000239982;WHISKY TALISKER 18Y CL.70 C/ASTUCCIO  DISTILLERS EDITION;5000281018881;9;WHISKY;032;DISTILLATI;0,000;0;0,000;2021;97,84500;107,62500;61,15000
000000000239984;CHAMPAGNE RUINART BLANC DE BLANCS CL.75 C/ASTUCCIO 12.5° XXX;3185370303429;00116;CHAMPAGNE;033;BOLLICINE;8,000;0;8,000;2021;65,00500;71,51500;55,00000
000000000240030;VINO MARCHE ROSSO PELAGO 2008 IGT CL.75  14° UMANI RONCHI;8032853722916;15;VINO ROSSO;009;VINI;0,000;2;-2,000;2021;18,08500;19,89500;13,59000
000000000240262;RUM DIPLOMATICO RISERVA EXLUSIVA CL.70;7594003620059;8;RUM;032;DISTILLATI;5,000;2;3,000;2021;33,10500;36,42500;24,89000
000000000240270;MARSALA CREMOVO LT.1 LILIBEO;8004445025392;13;LIQUORI;010;AMARI E LIQUORI;14,000;2;12,000;2021;5,48500;6,03500;3,65000
000000000240288;SCOTCH WHISKY CARDHU 12 Y CL.70 ///;5000267102573;9;WHISKY;032;DISTILLATI;7,000;2;5,000;2021;24,71500;27,19500;18,58000
000000000240363;ELISIR GRAMBRINUS CL.70;8024419000019;13;LIQUORI;010;AMARI E LIQUORI;4,000;2;2,000;2021;16,96500;18,66500;11,30840
000000000240538;LIME JUICE CORDIAL NATYS LT.1;8009760011068;13;LIQUORI;004;CONDIMENTI-GUARNITORI-OLIO;111,000;2;109,000;2021;6,20500;6,83500;3,10000
000000000240621;GIN BOMBAY SAPPHIRE EAST CL.70 ///;5010677180016;11;GIN;032;DISTILLATI;6,000;2;4,000;2021;22,22500;24,45500;16,71000
000000000240698;GIN BOMBAY  CL.70 ///;5010677714006;11;GIN;032;DISTILLATI;64,000;2;62,000;2021;14,90500;16,40500;11,20000
000000000009707;AMARO MONTENEGRO CL. 70XXXX ///;8000330014458;10;AMARO;010;AMARI E LIQUORI;334,000;2;332,000;2021;10,30500;13,85500;9,55300
000000000009711;MALIBU' LT.1 ///;5010103800747;8;RUM;032;DISTILLATI;14,000;2;12,000;2021;14,57500;16,03500;9,71000
000000000009719;LIME ROSE'S LT.1;5701125678253;13;LIQUORI;010;AMARI E LIQUORI;24,000;2;22,000;2021;4,26500;4,69500;3,20500
000000000032903;RUM S.TERESA SELECTO CL.70;;8;RUM;032;DISTILLATI;15,000;2;13,000;2021;22,22500;24,44500;16,70000
000000000033182;VODKA WIBOROWA CL.100 ///;5900685000188;7;VODKA;032;DISTILLATI;360,000;2;358,000;2021;11,48500;12,63500;7,65300
000000000033182;VODKA WIBOROWA CL.100 ///;5900685005725;7;VODKA;032;DISTILLATI;360,000;2;358,000;2021;11,48500;12,63500;7,65300
000000000033470;CHAMPAGNE BOLLINGER CL.75 ///;3052853075909;00116;CHAMPAGNE;033;BOLLICINE;57,000;0;57,000;2021;37,00500;40,71500;32,00000
000000000233697;RUM ZACAPA 23Y  CL.70 ///;7401005018053;8;RUM;032;DISTILLATI;54,000;2;52,000;2021;48,56500;53,42400;36,51000
000000000233907;RUM BARBANCOURT 5 STELLE 8Y CL.70 HAITI;8901600582;8;RUM;032;DISTILLATI;6,000;2;4,000;2021;28,70500;31,58500;19,13000
000000000233979;CHERRY STOCK CL. 0,70;8000440113102;13;LIQUORI;010;AMARI E LIQUORI;6,000;2;4,000;2021;10,35500;11,39500;6,90000
000000000234147;GRAPPA BIANCA VENETA LT. 2;807525003105;5;GRAPPA;032;DISTILLATI;19,000;2;17,000;2021;13,70500;15,08500;10,30200
000000000234180;TEQUILA JOSE CUERVO ESPECIAL GOLD LT.1;7501035042155;6;TEQUILA;032;DISTILLATI;10,000;2;8,000;2021;16,45500;18,10500;12,37000
000000000234581;VINO MONTEPULCIANO D'ABR. 2018 DOC CL. 75 13,5° MASCIARELLI;8033140750018;15;VINO ROSSO;009;VINI;77,000;2;75,000;2021;5,76500;6,34500;4,33200
000000000234602;VINO MONTEPULCIANO DOC TRALCETTO 2018 CL.75  12.5° ZACCAGNINI;8028938011082;15;VINO ROSSO;009;VINI;38,000;2;36,000;2021;5,87500;6,46500;4,41000
000000000234794;VODKA MOSKOVSKAYA LT. 1;4750021001222;7;VODKA;032;DISTILLATI;100,000;2;98,000;2021;11,35500;12,49500;9,08000
000000000234829;VINO SPUMANTE BRUT CUVEE PINOT CHARDONNAY CINZANO CL.75;8000020000181;00118;PROSECCO/SPUMANTE;033;BOLLICINE;428,000;2;426,000;2021;4,57500;5,03500;3,43400
000000000235221;VINO PIEMONTE DOC CORTESE B.06 CL.75 TOSO;8002915000863;14;VINO BIANCO;009;VINI;4,000;2;2,000;2021;2,13500;2,35500;1,60000
000000000235605;MIDORI LT. 1;080686933182;13;LIQUORI;010;AMARI E LIQUORI;16,000;2;14,000;2021;17,56500;19,32500;13,20000
000000000235605;MIDORI LT. 1;4901777047914;13;LIQUORI;010;AMARI E LIQUORI;16,000;2;14,000;2021;17,56500;19,32500;13,20000
000000000235660;RUM ZACAPA 25Y CENTENARIO XO CL. 70;7401005004544;8;RUM;032;DISTILLATI;8,000;2;6,000;2021;112,50500;123,76500;90,00000
000000000235729;RUM MYERS'S CL. 70;087000652354;8;RUM;032;DISTILLATI;16,000;2;14,000;2021;13,83500;15,22500;10,40000
000000000235729;RUM MYERS'S CL. 70;8700065235;8;RUM;032;DISTILLATI;16,000;2;14,000;2021;13,83500;15,22500;10,40000
000000000235752;RICARD LT. 1;3163937010003;13;LIQUORI;010;AMARI E LIQUORI;9,000;2;7,000;2021;17,42500;19,17500;13,10000
000000000235968;CHAMPAGNE MOET & CHANDON RIS. IMPERIALE CL. 75 (BLU) 12° C/ASTUCCIO XXXX ///;3185370205808;00116;CHAMPAGNE;033;BOLLICINE;15,000;0;15,000;2021;33,45500;36,80500;28,45000
000000000236330;BOLS PEPPER MINT WHITE  CL.70 XXXXX ///;8716000965394;13;LIQUORI;010;AMARI E LIQUORI;13,000;2;11,000;2021;10,44500;11,49500;6,96000
000000000236333;VINO MARCHE ROSATO FRAPICCI IGT 2020 CL.75 12,5° FONTEZOPPA;8033355930182;97;VINO ROSATO;009;VINI;-3,000;2;-5,000;2021;5,75500;6,33500;4,32300
000000000236425;WHISKY JAMESON  LT.1 ///;5011007003227;9;WHISKY;032;DISTILLATI;36,000;2;34,000;2021;20,10500;22,12500;15,11000
000000000236509;MARASCHINO SAN GIORGIO LT.2;8007525102990;13;LIQUORI;010;AMARI E LIQUORI;6,000;2;4,000;2021;11,32500;12,46500;8,51000
000000000240700;CHAMPAGNE KRUG CL.150 12° C/ASTUCCIO;3258064006262;00116;CHAMPAGNE;033;BOLLICINE;1,000;0;1,000;2021;461,48500;507,62500;288,42000
000000000240704;CHAMPAGNE MOET & CHANDON LT. 1,5 C/ASTUCCIO (ROSSO) XXXX ///;3185370011010;00116;CHAMPAGNE;033;BOLLICINE;0,000;2;-2,000;2021;96,00500;105,61500;64,00000
000000000240706;CHAMPAGNE RUINART DE RUINART CL.75 C/ASTUCCIO XXX;3185370288672;00116;CHAMPAGNE;033;BOLLICINE;10,000;0;10,000;2021;49,95500;54,95500;36,95000
000000000240743;GRAPPA DI NEBBIOLO DA BAROLO TRA I LAGHI CL.70 41.5°  D'ANGERA;;5;GRAPPA;032;DISTILLATI;1,000;0;1,000;2021;28,20500;31,02500;18,80000
000000000240749;BIRRA BRUGSE ZOT BLONDE CL.33;5425017240013;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;45,000;2;43,000;2021;2,28500;2,51500;1,51700
000000000240889;VINO MOSCATO D'ASTI DOCG I VIGNAIOLI DI S.STEFANO CL.75;8033254937527;00118;PROSECCO/SPUMANTE;033;BOLLICINE;22,000;2;20,000;2021;10,77500;11,85500;8,10000
000000000240891;CHAMPAGNE DELAMOTTE BRUT CL.75 XXX;3418760000685;00116;CHAMPAGNE;033;BOLLICINE;12,000;0;12,000;2021;32,92500;36,22500;27,92000
000000000240961;SCOTCH WHISKY CARDHU 15 Y CL.70(DIAGEO);5000267116662;9;WHISKY;032;DISTILLATI;1,000;0;1,000;2021;46,02500;50,62500;30,68000
000000000240966;CACIQUE RON ANTIGUO CL.70 C/ASTUCCIO(DIAGEO);7591073013446;8;RUM;032;DISTILLATI;1,000;0;1,000;2021;69,88500;76,86500;46,58000
000000000241026;VINO MOSCATO D'ASTI DOCG BIANCOSPINO CL.150 4,5° LA SPINETTA ///;8022252231317;00118;PROSECCO/SPUMANTE;033;BOLLICINE;0,000;0;0,000;2021;20,85500;22,94500;13,90000
000000000241133;VOV LIQUORE ALL'UOVO CL.70 ///;8002095761783;13;LIQUORI;010;AMARI E LIQUORI;19,000;2;17,000;2021;12,97500;14,27500;9,75000
000000000241176;LIQUORE AL SAMBUCO SAINT GERMAIN CL.70 ///;5014271796161;13;LIQUORI;010;AMARI E LIQUORI;10,000;2;8,000;2021;30,71500;33,79500;23,09000
000000000241193;BIRRA BUSH AMBRE CARACTERE CL.33;5411551300818;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;9,000;2;7,000;2021;2,56500;2,82500;1,70400
000000000241193;BIRRA BUSH AMBRE CARACTERE CL.33;5411551622118;18;BIRRA SPECIALE/ARTIGIANALE;014;BIRRE;9,000;2;7,000;2021;2,56500;2,82500;1,70400
000000000241251;GIN MARE MEDITERRANEAN CL.70 ///;000000000241251;11;GIN;032;DISTILLATI;204,000;2;202,000;2021;32,59500;35,85500;24,50000
000000000241251;GIN MARE MEDITERRANEAN CL.70 ///;8411640000459;11;GIN;032;DISTILLATI;204,000;2;202,000;2021;32,59500;35,85500;24,50000
000000000241258;VODKA SKYY GREEN APPLE CL.70///;8000040801201;7;VODKA;032;DISTILLATI;12,000;2;10,000;2021;10,46500;11,51500;8,36500
000000000241258;VODKA SKYY GREEN APPLE CL.70///;800040801201;7;VODKA;032;DISTILLATI;12,000;2;10,000;2021;10,46500;11,51500;8,36500
000000000241259;VODKA SKYY STRAWBERRY CL.70///;8000040801126;7;VODKA;032;DISTILLATI;15,000;2;13,000;2021;10,46500;11,51500;8,36500
000000000241260;VODKA SKYY PASSION FRUIT CL.70///;8000040801164;7;VODKA;032;DISTILLATI;28,000;2;26,000;2021;10,46500;11,51500;8,36500
000000000241261;VODKA SKYY GLACIAL MINT CL.70///;8000040801188;7;VODKA;032;DISTILLATI;18,000;2;16,000;2021;10,46500;11,51500;8,36500
